Sample #,Date,Start Time,Sample Temp (C),Sample Pressure (kPa),Relative Humidity (%),Mean Free Path (m),Gas Viscosity (Pa*s),Diameter Midpoint (nm),6.15,6.38,6.61,6.85,7.10,7.37,7.64,7.91,8.20,8.51,8.82,9.14,9.47,9.82, 10.2, 10.6, 10.9, 11.3, 11.8, 12.2, 12.6, 13.1, 13.6, 14.1, 14.6, 15.1, 15.7, 16.3, 16.8, 17.5, 18.1, 18.8, 19.5, 20.2, 20.9, 21.7, 22.5, 23.3, 24.1, 25.0, 25.9, 26.9, 27.9, 28.9, 30.0, 31.1, 32.2, 33.4, 34.6, 35.9, 37.2, 38.5, 40.0, 41.4, 42.9, 44.5, 46.1, 47.8, 49.6, 51.4, 53.3, 55.2, 57.3, 59.4, 61.5, 63.8, 66.1, 68.5, 71.0, 73.7, 76.4, 79.1, 82.0, 85.1, 88.2, 91.4, 94.7, 98.2,101.8,105.5,109.4,113.4,117.6,121.9,126.3,131.0,135.8,140.7,145.9,151.2,156.8,162.5,168.5,174.7,181.1,187.7,194.6,201.7,209.1,216.7,Scan Time (s),Retrace Time (s),Scan Resolution (Hz),Scans Per Sample,Sheath Flow (L/min),Aerosol Flow (L/min),Bypass Flow (L/min),Low Voltage (V),High Voltage (V),Lower Size (nm),Upper Size (nm),Density (g/cm³),td + 0.5 (s),tf (s),D50 (nm),Neutralizer Status ,Median (nm),Mean (nm),Geo. Mean (nm),Mode (nm),Geo. Std. Dev.,Total Conc. (#/cm³),Title,User Name,Sample ID,Instrument ID,Lab ID,Leak Test and Leakage Rate,Instrument Errors,Comment
2459,13/12/2019,21:33:04,18.3,98.9,53.3,6.75434e-008,1.80993e-005,,1181.565,1086.139,1122.589,1161.624,1259.052,1421.117,1387.493,1179.563,1183.830,1213.538,1120.601,1063.485,1128.195,1275.498,1192.102,1177.202,1248.897,1273.950,1179.077,1090.956,1189.276,1044.264,1185.640,1192.163,1017.935,1103.780,1055.085,1002.633,1068.450,1011.979,933.327,999.521,1071.537,1141.812,1123.608,1072.422,1444.720,1218.246,1076.655,1095.280,1026.906,986.005,1022.822,1079.984,1135.221,1175.134,1147.189,1112.691,1043.831,1173.930,1127.776,1046.112,985.827,1001.947,1225.550,1225.150,1200.713,1200.330,1186.341,968.912,1026.743,1010.565,984.621,1050.559,1175.802,1039.803,1010.022,990.382,1037.873,1113.847,1017.516,1097.277,1030.221,900.513,931.807,1012.360,1046.767,996.978,991.849,933.968,1067.994,996.177,1005.302,997.464,937.051,910.567,908.488,926.607,853.184,983.252,896.305,851.446,883.431,862.211,813.628,818.836,793.083,775.296,788.634,732.349,50,8,50,1,15.000,0.100,0.00,10.16,9815.01,6.04,220.7,1.000,3.98,1.64,1.22e+03,ON,11.128,26.536,15.491,6.153,2.477,1.714124e+007,,Test,,,,,Low aerosol flow;Detector aerosol flow rate error;Detector liquid level low,
2460,13/12/2019,21:34:24,18.3,98.9,53.4,6.75434e-008,1.80993e-005,,1111.974,1057.418,1072.816,988.151,1015.012,1025.547,1212.937,1103.459,1010.602,1142.911,1116.658,1087.693,1107.567,1248.107,1202.938,1083.021,1172.325,1095.314,1055.161,1072.021,1256.132,1586.194,1296.754,1178.936,1141.973,1060.023,1000.683,1012.050,1103.936,1100.830,1011.096,1103.676,1211.539,1140.062,1145.164,1315.373,1179.846,1125.556,1092.733,960.978,977.108,1110.581,1354.454,1279.973,1025.283,1024.806,981.986,897.097,1010.266,1036.788,981.480,1063.479,1077.498,1038.773,1008.302,1032.313,1043.905,1105.564,1081.773,978.057,1081.958,1094.949,1015.359,1060.480,954.960,969.732,988.008,988.292,1089.052,999.185,1034.067,1014.603,1008.631,1076.520,1109.827,1000.924,1001.995,1029.037,1036.427,1192.507,1159.754,966.124,1007.167,988.299,997.962,910.440,932.274,809.405,893.272,883.017,897.147,865.845,903.396,1040.461,981.179,780.724,796.041,825.523,746.937,909.985,50,8,50,1,15.000,0.100,0.00,10.16,9815.01,6.04,220.7,1.000,3.98,1.64,1.22e+03,ON,11.763,27.593,16.037,6.153,2.498,1.649215e+007,,Test,,,,,Low aerosol flow;Detector aerosol flow rate error;Detector liquid level low,
2461,13/12/2019,21:35:44,18.4,98.9,53.3,6.75729e-008,1.81041e-005,,1123.716,1065.586,910.922,916.187,1071.203,1121.231,1086.520,1130.672,1130.950,1138.865,1036.074,1281.856,1248.292,1148.376,1166.284,1230.553,1148.875,1188.957,1176.765,1167.754,1132.603,1103.833,1111.544,997.426,1096.992,1056.138,1109.410,1026.288,1063.299,1136.658,1213.347,1211.010,1373.086,1233.601,1116.851,1104.388,1186.415,1362.296,1520.433,1229.831,1202.003,1144.014,1203.103,1211.597,1172.122,1079.428,1101.579,1109.720,1124.144,1191.423,1190.719,1172.752,1036.361,970.253,1006.087,1049.950,970.808,1036.831,1166.744,1079.513,1091.123,1142.550,980.060,1029.298,962.598,874.452,875.877,922.261,953.731,963.086,1014.530,1083.257,989.286,892.319,1021.568,1098.976,979.397,880.432,955.392,1061.584,1136.613,1417.040,1073.834,1066.706,1086.208,1083.339,1096.069,942.152,899.148,1034.981,1023.651,871.841,910.137,890.982,884.448,954.795,881.288,876.798,827.851,842.396,50,8,50,1,15.000,0.100,0.00,10.16,9815.55,6.04,220.7,1.000,3.98,1.64,1.22e+03,ON,11.803,27.995,16.259,6.153,2.506,1.669610e+007,,Test,,,,,Low aerosol flow;Detector aerosol flow rate error;Detector liquid level low,
2462,13/12/2019,21:37:04,18.4,98.9,53.3,6.75729e-008,1.81041e-005,,1116.850,1157.855,1236.856,1272.328,1208.888,1220.840,1182.279,1243.920,1184.116,1158.638,1079.088,1020.839,1194.387,1271.919,1164.072,1207.677,1420.104,1236.207,1348.623,1252.119,1247.415,1144.905,1103.245,1085.392,1180.021,1249.875,1159.626,1152.047,1397.727,1253.251,1269.526,1183.851,1136.645,1147.398,1178.674,1212.457,1106.269,1090.191,1039.354,1012.615,1109.383,1070.758,1205.173,1193.428,1240.998,1077.382,1125.805,1164.931,1123.605,1066.935,1063.355,1084.592,939.991,1024.008,965.553,973.814,1019.499,985.688,1028.217,1068.542,1036.427,968.007,1077.545,1062.391,1063.396,1109.477,1134.049,1085.461,1350.698,1080.629,1231.040,1058.249,1011.985,979.143,1065.985,1028.152,863.168,927.390,1024.101,962.437,954.947,961.778,973.782,1160.498,1015.237,1051.944,1003.365,937.471,913.858,870.554,1041.322,968.995,823.807,888.133,937.283,830.263,767.470,844.260,773.976,839.031,50,8,50,1,15.000,0.100,0.00,10.16,9815.55,6.04,220.7,1.000,3.98,1.64,1.22e+03,ON,11.387,26.739,15.609,6.153,2.475,1.746504e+007,,Test,,,,,Low aerosol flow;Detector aerosol flow rate error;Detector liquid level low,
2463,13/12/2019,21:38:24,18.4,99.0,53.3,6.75047e-008,1.81041e-005,,1128.765,1087.554,1140.526,1169.031,1197.824,1168.475,1169.368,1176.159,1033.818,1086.784,1181.627,1343.971,1246.358,1183.925,1193.532,1212.646,1248.777,1166.505,1200.001,1089.119,1228.007,1159.598,1221.613,1176.388,1128.437,1085.409,1171.651,1105.976,1164.740,1117.757,1087.552,1205.062,1161.808,1244.680,1162.479,1143.496,1096.429,1153.593,1212.970,1153.974,1146.864,1138.793,1150.346,1089.048,1031.433,1071.605,1270.009,1085.697,1153.898,1087.459,1224.742,1123.437,1174.273,1229.307,1131.817,1094.699,1077.146,1066.130,984.045,1258.153,1135.528,1020.382,1028.595,1059.353,1158.519,934.397,1041.484,1082.701,1024.165,964.318,1008.908,1065.040,981.233,977.021,1033.739,1039.118,998.965,958.878,948.218,918.449,970.000,1038.839,984.076,958.704,971.127,1007.129,1052.816,964.424,923.933,886.997,905.764,1055.155,1044.088,965.693,884.491,921.230,956.494,966.329,929.764,915.964,50,8,50,1,15.000,0.100,0.00,10.17,9820.32,6.04,220.7,1.000,3.98,1.64,1.22e+03,ON,11.495,27.474,15.899,6.153,2.500,1.721092e+007,,Test,,,,,Low aerosol flow;Detector aerosol flow rate error;Detector liquid level low,
2464,13/12/2019,21:39:44,18.5,99.0,53.3,6.75342e-008,1.81089e-005,,1172.637,1385.433,1364.448,1294.814,1150.226,1061.219,1087.430,1232.062,1336.969,1251.437,1074.272,1106.995,1096.480,1173.248,1237.886,1236.402,1148.644,1102.825,1401.606,1294.176,1217.936,1112.885,1112.441,1303.434,1358.876,1392.818,1380.278,1298.274,1216.985,1229.691,1263.814,1091.854,1160.184,1172.986,1201.142,1169.146,1069.799,1061.094,1123.933,1166.686,1219.920,1206.410,1072.991,1114.467,1103.307,1073.104,1065.542,1138.263,1163.027,1160.212,1155.247,1111.779,1124.213,1096.636,928.205,973.448,996.895,1067.506,1125.059,1112.212,1061.344,1006.533,1067.942,1021.554,1042.457,1019.233,930.237,980.493,1054.272,1040.069,1090.824,1014.644,1132.034,1049.877,968.398,913.292,941.696,915.668,1108.812,1035.516,971.602,1000.114,906.431,965.959,890.127,935.419,928.202,969.995,996.718,980.502,936.805,965.483,846.360,887.867,798.463,851.106,938.347,830.454,882.871,989.878,50,8,50,1,15.000,0.100,0.00,10.17,9820.87,6.04,220.7,1.000,3.98,1.64,1.22e+03,ON,11.406,26.522,15.463,6.378,2.469,1.769675e+007,,Test,,,,,Low aerosol flow;Detector aerosol flow rate error;Detector liquid level low,
2465,13/12/2019,21:41:04,18.5,98.9,53.3,6.76025e-008,1.81089e-005,,1221.518,1204.189,1139.884,1058.104,1038.716,1055.988,1390.430,1278.770,1129.224,1084.557,1123.309,1013.988,1096.736,1067.992,992.163,1199.381,1472.202,1242.498,1204.079,1041.249,1058.599,1316.241,1089.089,1073.269,1188.721,1124.560,1282.659,1180.411,1150.112,1527.979,1186.115,1038.010,1097.688,1060.811,990.388,1016.371,1962.604,2307.330,1563.110,1271.465,1197.549,1047.586,1125.036,1129.314,1102.561,1047.949,1041.163,975.757,1057.571,1028.359,1125.174,1079.322,1073.943,1118.263,1002.728,1031.361,2207.285,1547.854,1269.099,1139.490,1085.038,1061.233,1133.569,1138.408,1066.367,1073.690,1121.331,1072.819,1134.504,991.718,997.201,1068.704,1033.157,975.340,1022.481,1065.486,998.268,957.824,971.070,1198.401,1092.479,951.868,905.445,902.063,933.765,926.934,950.470,985.759,923.638,945.240,914.769,885.758,831.587,839.841,808.779,850.727,838.919,820.592,858.107,874.059,50,8,50,1,15.000,0.100,0.00,10.16,9816.10,6.04,220.7,1.000,3.98,1.64,1.22e+03,ON,11.759,27.150,15.998,6.153,2.476,1.741830e+007,,Test,,,,,Low aerosol flow;Detector aerosol flow rate error;Detector liquid level low,
2466,13/12/2019,21:42:24,18.5,99.0,53.2,6.75342e-008,1.81089e-005,,1083.228,1107.220,1028.115,966.782,1050.269,981.983,1107.129,1108.928,1113.231,1035.493,1078.046,1148.474,1044.083,1025.222,954.081,1110.629,1287.364,1247.279,1216.720,1190.491,1137.278,1157.919,1044.891,1021.648,1071.454,1082.528,1012.424,1025.756,1058.402,1036.217,986.621,1011.102,1129.744,1069.504,1128.844,1161.227,1188.117,1180.201,1119.798,1109.336,1086.016,1055.893,1082.842,1007.902,1036.863,1042.736,1056.710,1140.646,1008.623,1112.774,1010.395,951.076,1046.949,1038.017,971.086,1144.891,1324.589,1185.170,1225.045,1181.199,1175.382,1197.189,1065.646,1049.735,1106.323,935.965,1004.689,1011.766,984.310,984.775,976.443,1038.428,1009.761,1039.703,893.344,923.032,919.796,989.730,901.905,922.240,959.130,905.929,862.645,947.049,936.902,919.920,951.003,940.892,908.520,914.397,1072.500,909.053,884.240,944.064,997.538,893.601,886.908,860.664,815.082,794.254,50,8,50,1,15.000,0.100,0.00,10.17,9820.87,6.04,220.7,1.000,3.98,1.64,1.22e+03,ON,11.708,27.899,16.150,6.153,2.514,1.615273e+007,,Test,,,,,Low aerosol flow;Detector aerosol flow rate error;Detector liquid level low,
2467,13/12/2019,21:43:44,18.5,98.9,53.2,6.76025e-008,1.81089e-005,,1108.750,1049.447,1106.577,1210.741,1207.508,1053.725,1052.916,1126.624,1195.614,1188.824,1231.163,1196.737,1190.636,1091.279,1172.732,1158.115,1072.267,1103.633,1192.107,1088.147,1161.929,1301.581,1318.512,1216.628,1202.283,1141.145,1290.966,1242.475,1125.863,1260.468,1155.672,1183.230,1081.135,1036.513,1040.271,1028.283,1276.127,1266.819,1201.502,1111.709,1031.430,1459.215,1466.311,1111.060,1174.763,1142.107,1027.785,1129.195,1116.601,1017.784,1038.364,949.266,959.586,1127.344,1048.961,955.954,1017.642,1005.953,1058.132,1010.351,963.563,1050.297,1093.914,1020.353,967.959,972.623,1076.299,1155.756,978.346,1018.812,1044.944,825.327,887.669,955.580,1140.540,1080.008,1094.694,1058.290,1045.361,1118.058,1005.458,998.363,1085.269,910.949,1013.104,1090.861,1079.891,940.544,943.486,893.313,904.646,888.811,882.771,890.779,908.289,842.675,828.743,959.907,962.431,816.816,50,8,50,1,15.000,0.100,0.00,10.16,9816.10,6.04,220.7,1.000,3.98,1.64,1.22e+03,ON,11.670,27.360,15.905,6.153,2.491,1.702759e+007,,Test,,,,,Low aerosol flow;Detector aerosol flow rate error;Detector liquid level low,
2468,13/12/2019,21:45:04,18.5,99.0,53.2,6.75342e-008,1.81089e-005,,997.171,1110.777,1132.389,1132.703,1055.843,1211.157,1068.445,1002.711,1099.042,1125.889,1180.261,1152.216,1057.986,1092.615,1032.280,1107.303,1201.419,1208.240,1174.391,1133.438,1084.339,1067.591,1027.079,1063.672,1160.585,1133.710,1043.613,1064.943,1070.074,1052.424,970.219,1080.657,1122.301,1046.386,1061.764,1030.886,1194.223,1083.544,1021.875,1095.353,1165.877,1336.632,1064.571,1092.944,1233.799,1158.309,1104.821,972.497,913.675,978.044,1032.683,879.858,1032.807,1200.757,1077.647,1147.145,1162.728,1174.164,1051.848,992.136,1013.786,1011.313,1041.473,1052.412,979.740,919.710,869.569,945.904,934.233,1033.652,1034.112,1041.117,883.836,963.962,1020.838,1014.095,910.074,951.606,980.287,887.153,855.190,884.010,957.498,914.361,992.180,1027.748,975.464,970.345,974.364,891.552,791.518,918.034,900.348,902.201,856.659,794.045,784.173,920.191,880.925,826.770,50,8,50,1,15.000,0.100,0.00,10.17,9820.87,6.04,220.7,1.000,3.98,1.64,1.22e+03,ON,11.493,27.387,15.881,6.378,2.499,1.628790e+007,,Test,,,,,Low aerosol flow;Detector aerosol flow rate error;Detector liquid level low,
2469,13/12/2019,21:46:24,18.6,99.0,53.2,6.75637e-008,1.81137e-005,,1089.152,1100.915,1282.853,1519.509,1293.725,1222.047,1191.943,1183.774,1148.433,1068.976,997.491,964.075,945.157,995.021,1027.628,1048.168,1069.443,1098.083,1023.785,1141.800,1321.790,1137.445,1204.415,1005.011,1042.277,1094.296,1084.250,1074.545,993.931,1070.457,1241.814,1068.992,973.583,1029.463,1049.764,1165.869,1042.974,1038.445,1093.970,997.699,1120.335,1129.217,1067.414,1090.660,1130.781,1077.221,1147.254,1045.250,1205.071,1173.169,1091.623,1037.959,930.712,961.546,1084.394,1174.365,1055.825,1030.565,968.519,973.710,1009.035,1066.185,993.761,893.835,934.195,921.622,934.387,966.351,1111.950,1040.620,1176.226,1119.217,1084.196,911.848,925.707,913.940,886.359,967.563,1076.661,1079.160,1083.138,1002.962,943.008,837.721,881.539,835.090,838.609,878.927,815.244,953.123,1034.713,937.137,917.798,952.316,829.870,822.835,746.919,833.887,810.245,752.564,50,8,50,1,15.000,0.100,0.00,10.17,9821.41,6.04,220.7,1.000,3.98,1.64,1.22e+03,ON,11.273,26.838,15.525,6.854,2.499,1.662974e+007,,Test,,,,,Low aerosol flow;Detector aerosol flow rate error;Detector liquid level low,
2470,13/12/2019,21:47:44,18.6,99.0,53.2,6.75637e-008,1.81137e-005,,1162.144,1052.100,1017.806,1045.064,886.148,1101.688,1025.225,1137.055,1097.340,1180.986,1128.664,1111.426,1084.449,1076.402,1033.617,1013.775,1010.871,1166.717,1116.252,1107.227,1033.938,1077.441,1122.354,1342.315,1259.204,1032.028,1264.258,1385.217,1195.198,1029.958,1002.326,1114.950,1084.824,1060.512,1025.238,1022.538,1134.569,1112.392,1219.891,1271.434,1108.722,1022.556,1053.668,1125.743,1082.238,1011.577,1015.654,918.059,890.046,975.301,948.932,957.627,901.864,1041.095,880.351,1014.765,1080.736,1179.358,1024.685,957.772,1063.680,1058.798,1155.471,1183.927,1069.576,989.159,924.271,961.615,1053.671,989.659,844.083,921.648,974.324,980.470,921.105,943.310,941.909,998.023,975.190,916.120,886.382,820.173,868.799,761.616,845.213,874.287,881.983,806.149,894.312,809.139,833.671,808.835,861.609,941.126,995.956,879.322,906.063,986.738,795.510,718.229,50,8,50,1,15.000,0.100,0.00,10.17,9821.41,6.04,220.7,1.000,3.98,1.64,1.22e+03,ON,11.692,27.236,15.872,6.153,2.484,1.608770e+007,,Test,,,,,Low aerosol flow;Detector aerosol flow rate error;Detector liquid level low,
2471,13/12/2019,21:49:04,18.6,99.0,53.2,6.75637e-008,1.81137e-005,,1017.377,1030.763,1013.515,973.114,962.673,1130.640,994.223,1013.344,989.131,954.391,975.399,887.483,906.408,1020.238,1034.170,1045.011,1050.904,974.055,920.575,1014.457,924.493,890.687,952.118,993.308,955.120,992.004,996.965,1061.815,1147.639,1250.549,1108.748,1043.917,1124.141,997.350,997.594,1314.550,1087.906,1072.270,1003.275,1035.172,1047.964,1110.862,1115.165,985.545,1041.215,1017.285,906.023,1209.239,1068.931,1013.144,1069.798,997.699,897.244,927.270,1002.596,1078.277,1107.861,1036.143,1110.527,1042.343,953.924,904.442,919.127,899.658,1032.819,991.286,1379.997,1122.476,1136.078,1216.511,1119.289,958.744,947.200,958.658,899.253,876.033,968.523,865.829,916.975,1141.601,930.845,895.711,830.236,975.109,969.857,901.887,862.742,809.066,910.716,997.106,892.917,840.129,992.507,843.272,748.962,818.837,716.819,769.535,814.863,829.698,50,8,50,1,15.000,0.100,0.00,10.17,9821.41,6.04,220.7,1.000,3.98,1.64,1.22e+03,ON,11.901,28.312,16.371,6.153,2.533,1.522446e+007,,Test,,,,,Low aerosol flow;Detector aerosol flow rate error;Detector liquid level low,
2472,13/12/2019,21:50:24,18.6,99.0,53.2,6.75637e-008,1.81137e-005,,994.944,1071.312,1316.296,1184.008,1242.256,1218.542,1076.544,1031.767,1002.294,1043.211,982.155,993.449,1142.583,1174.536,1045.223,1064.224,1077.817,1110.209,977.158,1010.046,1132.995,1079.512,1101.034,1177.092,1152.617,1101.049,1049.766,1022.849,1005.117,925.906,1095.025,961.970,977.113,1080.064,1153.640,1079.161,1021.915,965.450,970.495,1013.503,1107.207,1059.221,1103.183,1068.178,1454.406,1218.108,1080.952,1051.490,1215.148,1034.531,950.414,897.079,947.846,936.914,961.033,1335.518,1098.200,1096.950,1058.388,1032.485,998.608,976.120,1064.811,991.010,989.691,914.455,992.052,914.354,844.125,978.663,939.272,842.851,905.163,839.878,987.260,1022.405,1055.966,903.978,849.756,880.044,923.413,934.051,1008.919,1038.142,1011.282,929.956,881.070,907.791,893.019,897.440,833.263,803.266,982.740,1007.243,929.807,847.401,826.357,852.300,800.651,747.654,50,8,50,1,15.000,0.100,0.00,10.17,9821.41,6.04,220.7,1.000,3.98,1.64,1.22e+03,ON,11.369,27.275,15.751,6.612,2.506,1.614013e+007,,Test,,,,,Low aerosol flow;Detector aerosol flow rate error;Detector liquid level low,
2473,13/12/2019,21:51:44,18.6,99.0,53.2,6.75637e-008,1.81137e-005,,1158.755,968.231,938.490,967.808,1059.642,1039.662,1005.407,1021.824,1139.726,1020.581,930.647,956.384,1039.011,1134.637,1120.872,1133.993,1068.039,1024.734,1055.334,1119.408,954.995,908.418,876.920,844.557,926.517,1013.688,1004.730,991.499,1184.766,1207.525,1317.393,1230.664,998.280,1068.969,1269.566,977.872,1022.886,978.033,987.923,1040.391,1023.060,966.852,971.263,979.848,980.560,829.258,902.187,1003.251,1083.241,1074.840,1035.460,1009.689,950.381,973.294,946.306,931.067,838.810,728.202,864.736,982.865,958.527,939.890,935.671,941.680,1009.236,951.894,1067.636,1078.229,1151.387,941.499,928.688,1028.171,1041.663,930.039,1024.779,1031.535,808.815,858.557,843.592,824.124,763.686,794.597,996.516,811.102,799.408,786.485,758.915,787.125,767.412,805.577,862.245,808.964,732.791,789.053,768.703,703.880,723.390,716.166,727.750,658.104,50,8,50,1,15.000,0.100,0.00,10.17,9821.41,6.04,220.7,1.000,3.98,1.64,1.22e+03,ON,11.438,26.811,15.736,6.153,2.473,1.522610e+007,,Test,,,,,Low aerosol flow;Detector aerosol flow rate error;Detector liquid level low,
2474,13/12/2019,21:53:04,18.6,99.0,53.1,6.75637e-008,1.81137e-005,,991.502,893.198,918.479,960.330,1096.281,1032.414,1114.874,1117.161,1090.520,975.852,1009.199,1018.234,1228.716,1071.249,1110.727,1052.800,990.824,1081.750,1154.125,998.804,942.976,1083.809,975.763,968.136,998.587,965.502,1062.939,984.186,1008.460,971.919,1040.799,1015.345,923.172,951.016,971.417,922.705,895.043,884.887,977.197,954.691,931.041,1044.263,1099.571,1005.227,1069.252,1058.046,1500.536,1136.320,1050.621,917.490,890.353,949.292,1000.795,1171.394,1069.242,959.248,1058.387,987.294,990.212,1047.576,1296.461,1314.800,1034.968,927.113,865.668,817.305,894.106,862.252,848.499,930.297,822.689,826.823,1004.592,791.586,898.443,850.343,842.847,837.910,720.695,734.842,792.649,833.540,1005.700,1001.998,937.141,874.268,945.982,817.613,767.497,856.846,811.076,828.396,877.335,944.642,964.789,859.358,819.623,751.069,676.270,694.178,50,8,50,1,15.000,0.100,0.00,10.17,9821.41,6.04,220.7,1.000,3.98,1.64,1.22e+03,ON,11.484,27.442,15.949,6.153,2.497,1.519864e+007,,Test,,,,,Low aerosol flow;Detector aerosol flow rate error;Detector liquid level low,
2475,13/12/2019,21:54:24,18.7,99.1,53.1,6.75250e-008,1.81185e-005,,982.784,928.285,936.581,938.367,970.235,941.634,1051.756,1053.287,965.937,843.741,846.637,917.444,1259.853,1145.050,1101.060,977.238,1005.351,900.066,933.730,957.290,1019.667,1013.862,951.816,967.984,1052.935,1029.986,1157.624,1115.635,972.451,983.365,980.881,1015.636,1089.823,1046.745,1002.523,918.240,911.616,888.218,890.806,878.197,889.295,835.400,965.408,902.230,1026.093,926.262,941.756,938.360,938.438,941.660,953.185,823.920,1058.420,954.315,903.876,854.139,864.242,1036.259,1096.943,1059.729,986.008,965.578,1070.836,1029.869,927.167,1025.652,949.891,908.061,882.749,847.124,929.572,1200.210,1156.453,1003.932,882.050,854.490,911.673,906.009,865.936,878.934,850.230,911.670,832.969,874.577,909.645,876.942,756.652,746.619,752.470,755.359,713.113,805.384,670.658,734.113,826.790,721.755,774.872,907.056,913.828,802.958,50,8,50,1,15.000,0.100,0.00,10.18,9826.72,6.04,220.7,1.000,3.98,1.64,1.22e+03,ON,11.652,27.794,16.083,6.153,2.512,1.465028e+007,,Test,,,,,Low aerosol flow;Detector aerosol flow rate error;Detector liquid level low,
2476,13/12/2019,21:55:44,18.7,99.0,53.1,6.75932e-008,1.81185e-005,,992.718,968.266,1145.173,960.543,940.769,1039.451,897.539,965.959,1022.152,1002.326,997.262,968.339,990.480,879.901,1036.295,995.646,1033.602,997.182,879.794,925.756,854.067,1034.118,1029.952,1029.463,987.561,1006.499,1079.212,1041.493,992.437,1086.168,924.730,952.649,840.033,843.461,817.148,950.327,1074.438,1063.285,1077.165,1131.594,1057.717,959.276,852.751,919.572,934.263,1206.856,1049.256,904.316,914.720,935.133,825.448,868.611,868.732,863.030,919.115,1013.925,960.031,917.765,823.030,794.821,920.993,938.195,1003.675,909.702,838.897,842.410,862.280,891.434,931.054,845.872,828.707,888.686,1097.664,1444.616,942.948,879.611,909.108,864.321,834.691,862.452,777.863,861.172,774.300,748.436,745.007,871.202,840.952,770.948,750.514,737.952,777.356,893.369,737.671,749.519,757.759,779.752,800.210,760.934,727.586,731.810,50,8,50,1,15.000,0.100,0.00,10.17,9821.95,6.04,220.7,1.000,3.98,1.64,1.22e+03,ON,11.454,27.295,15.829,6.612,2.501,1.459688e+007,,Test,,,,,Low aerosol flow;Detector aerosol flow rate error;Detector liquid level low,
2477,13/12/2019,21:57:04,18.8,99.0,53.0,6.76227e-008,1.81233e-005,,1011.132,931.728,855.414,916.674,897.490,1069.926,1190.212,967.823,1053.675,976.625,876.319,935.776,1195.994,1021.331,906.520,1000.779,993.811,856.200,872.239,949.213,905.012,922.420,1055.302,1068.917,1063.686,964.973,1100.484,1047.040,1001.899,976.424,1015.926,966.063,942.718,985.460,948.293,1001.907,990.466,982.063,1000.042,1006.910,907.596,959.312,960.258,1031.647,1165.243,872.127,945.013,929.732,941.901,1015.888,1034.924,1031.088,932.154,918.835,831.672,966.050,1078.060,1084.482,953.762,996.488,953.996,918.627,801.014,816.437,880.787,954.677,923.485,934.473,1022.410,861.229,975.098,948.154,890.918,946.359,888.060,982.492,872.050,852.047,800.124,880.467,837.306,771.815,737.698,725.512,776.077,861.724,759.764,762.633,751.601,784.490,811.914,913.002,782.812,803.272,821.282,773.946,691.866,642.735,676.425,674.834,50,8,50,1,15.000,0.100,0.00,10.16,9822.50,6.04,220.7,1.000,3.98,1.64,1.23e+03,ON,11.591,27.239,15.922,6.153,2.488,1.456397e+007,,Test,,,,,Low aerosol flow;Detector aerosol flow rate error;Detector liquid level low,
2478,13/12/2019,21:58:24,18.9,99.0,53.0,6.76523e-008,1.81281e-005,,1069.588,996.835,925.939,969.059,993.013,969.952,1159.811,988.466,969.383,995.271,948.073,1048.512,1022.155,1046.594,985.726,936.519,969.402,853.207,1010.437,1022.699,1002.474,1000.191,924.605,820.707,892.426,977.825,969.842,893.810,982.278,1002.697,971.844,931.538,1021.515,1003.520,1121.360,1054.792,936.295,959.946,1016.398,1145.725,1174.956,1011.995,911.661,1117.103,980.863,891.513,1058.833,1015.241,973.248,1207.176,1099.215,925.130,939.867,978.277,931.786,828.646,854.649,972.437,898.142,964.396,1001.258,1051.013,916.485,899.277,861.807,864.151,1030.592,1014.195,934.134,908.219,879.439,877.613,808.522,983.851,1012.479,960.020,906.708,819.062,969.814,893.169,840.469,870.405,827.056,901.002,885.628,945.681,791.115,779.955,718.841,745.338,735.778,724.194,833.370,1046.513,948.482,823.292,794.226,820.306,750.412,780.646,50,8,50,1,15.000,0.100,0.00,10.16,9823.04,6.04,220.7,1.000,3.98,1.64,1.23e+03,ON,11.563,27.773,16.014,6.153,2.520,1.479313e+007,,Test,,,,,Low aerosol flow;Detector aerosol flow rate error;Detector liquid level low,
2479,13/12/2019,21:59:44,18.9,99.0,53.0,6.76523e-008,1.81281e-005,,1079.957,1025.921,1053.844,1100.979,1108.189,1020.486,1095.796,1087.068,1090.511,962.005,975.879,886.737,968.823,1010.063,1029.850,959.072,976.337,1065.140,1003.389,986.043,1076.911,1037.222,898.610,1030.596,1111.503,1092.916,1074.342,979.974,998.734,1071.300,1040.878,949.603,937.611,976.153,969.392,972.069,1123.277,1126.511,1054.681,1403.504,1094.160,960.618,935.977,1042.163,1010.620,1233.292,1530.972,1090.069,1039.974,1041.912,984.816,1084.313,1111.540,1039.612,1099.094,970.225,919.088,1249.901,1167.697,934.015,956.882,981.516,1151.030,1532.991,1043.788,911.965,833.917,826.401,970.727,971.800,857.415,907.736,879.532,847.197,930.927,771.945,916.080,927.931,842.156,865.448,950.721,1024.789,1039.635,897.558,806.310,853.359,768.407,859.314,779.788,838.727,812.413,841.191,789.911,754.410,805.696,733.361,647.320,677.846,686.994,785.881,50,8,50,1,15.000,0.100,0.00,10.16,9823.04,6.04,220.7,1.000,3.98,1.64,1.23e+03,ON,11.618,27.098,15.897,6.153,2.488,1.545669e+007,,Test,,,,,Low aerosol flow;Detector aerosol flow rate error;Detector liquid level low,
